0.7399996, 0, 0, 37.53633, 5.798958, 0, 9456.133, -891.8635, -2.947957, 0.01947593, 0.1574723, 141.1693, 2.158939, 1.732906, 25.85516
 
0.7499996, -1, 0, 38.07982, 5.820022, 0.4724881118282717595786605846, 9759.722, -892.3994, -2.947957, 0.01947593, 0.1574723, 143.4281, 2.158939, 1.732041, 25.87193
 
0.7599996, -1, -0.01, 38.6255, 5.84121, 0.46342140566506586665714, 10069.05, -892.9363, -2.947957, 0.01947593, 0.1574723, 145.6943, 2.158939, 1.731175, 25.8887
 
0.7699996, -1, -0.02, 39.17321, 5.862351, 0.4536832349658185710027905846, 10384.16, -893.4745, -2.947957, 0.01947593, 0.1574723, 147.9677, 2.158939, 1.73031, 25.90547
 
0.7799996, -1, -0.03, 39.7231, 5.883618, 0.4432825093926459606906305846, 10705.1, -894.0136, -2.947957, 0.01947593, 0.1574723, 150.2486, 2.158939, 1.729444, 25.92225
 
0.7899995, -1, -0.04, 40.27512, 5.904923, 0.43222813860766682369329, 11031.91, -894.5539, -2.947957, 0.01947593, 0.1574723, 152.5367, 2.158939, 1.728578, 25.93902
 
0.7999995, -1, -0.05, 40.82915, 5.926181, 0.42052903227300174791514, 11364.63, -895.0952, -2.947957, 0.01947593, 0.1574723, 154.8323, 2.158939, 1.727713, 25.95579
 
0.8099995, -1, -0.05999999, 41.38223, 5.944899, 0.40819374006442038750546, 11702.99, -895.6376, -2.947957, 0.01947593, 0.1574723, 157.1331, 2.158939, 1.726847, 25.97256
 
0.8199995, -1, -0.06999999, 41.93417, 5.960895, 0.39523648144267797983471, 12047.02, -896.1811, -2.947957, 0.01947593, 0.1574723, 159.439, 2.158939, 1.725982, 25.98933
 
0.8299995, -1, -0.07999999, 42.48762, 5.976831, 0.3816652661040236281976905846, 12396.72, -896.7257, -2.947957, 0.01947593, 0.1574723, 161.7502, 2.158939, 1.725116, 26.0061
 
0.8399995, -1, -0.08999999, 43.04268, 5.992792, 0.36748765376176754370387, 12752.15, -897.2714, -2.947957, 0.01947593, 0.1574723, 164.0665, 2.158939, 1.72425, 26.02287
 
0.8499995, -1, -0.09999999, 43.59943, 6.008867, 0.3527104841565297695088505846, 13113.33, -897.8184, -2.947957, 0.01947593, 0.1574723, 166.388, 2.158939, 1.723384, 26.03964
 
